cluster_id,peak_x,peak_y,peak_z,cluster_mean,volume_mm,aal,desikan_killiany,harvard_oxford
1.0,-28.297999382019043,-97.13599967956543,-1.0,3.3013055450037907,303.0821228027344,84.21% Occipital_Mid_L; 15.79% no_label,68.42% ctx-lh-lateraloccipital; 26.32% Unknown; 5.26% Left-Cerebral-White-Matter,100.00% Left_Occipital_Pole
2.0,-45.97999954223633,-66.82399940490723,49.0,3.2296745075899014,271.1787414550781,64.71% Angular_L; 23.53% no_label; 11.76% Parietal_Inf_L,52.94% ctx-lh-inferiorparietal; 47.06% Unknown,76.47% Left_Lateral_Occipital_Cortex_superior_division; 23.53% Left_Angular_Gyrus
